#
# Sprite sheet data for MonoGame.
#
# To learn how to import these sprites into your MonoGame project visit:
# https://www.codeandweb.com/texturepacker/monogame
#
# Sprite sheet: entities.png (72 x 404)
# $TexturePacker:SmartUpdate:92c47824e0fd9c12ec2c82d237374cff:35f5130712fc28f1bcb02640ec14e9da:7de42156f25b693bd0d7ccd72987ff69$
#

android1;0;1;1;68;76;68;76;0.5;0.5
android2;0;1;79;68;76;68;76;0.5;0.5
android3;0;1;157;68;76;68;76;0.5;0.5
android4;0;1;235;68;76;68;76;0.5;0.5
c;0;54;389;11;12;32;16;0.5454545454545454;0.5833333333333334
cpp;1;35;363;12;28;32;16;0.5;0.5833333333333334
csharp;1;1;377;13;23;32;16;0.5217391304347826;0.5384615384615384
java;0;1;363;32;12;32;16;0.5;0.5833333333333334
mss000;1;16;377;10;25;32;16;0.52;0.5
mss001;0;28;393;24;10;32;16;0.5;0.5
mss010;1;47;313;10;24;32;16;0.5;0.5
mss011;0;47;339;24;10;32;16;0.5;0.5
mss100;0;47;351;24;10;32;16;0.5;0.5
mss101;1;59;313;10;24;32;16;0.5;0.5
mss110;1;49;363;10;24;32;16;0.5;0.5
mss111;1;61;363;10;24;32;16;0.5;0.5
powerup_kaffee;0;1;313;44;48;48;48;0.5;0.5
